Stock URL,Stock Name,Stock Index,Isin Code,Market/Segment,Sector,Ftse Indices
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005353815.html?lang=en,Powersoft,PWS,IT0005353815,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003124663.html?lang=en,Prima Industrie,PRI,IT0003124663,STAR,Industrial Goods & Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Industrials, FTSE Italia All-Share Industrial Goods and Services"
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005379737.html?lang=en,Radici,RAD,IT0005379737,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005054967.html?lang=en,Rai Way,RWAY,IT0005054967,MTA,Media,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Mid Cap, FTSE Italia All-Share Consumer Services, FTSE Italia All-Share Media"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004724107.html?lang=en,Ratti,RAT,IT0004724107,MTA,Personal & Household Goods,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Goods, FTSE Italia All-Share Personal and Household Goods"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004931496.html?lang=en,Rcs Mediagroup,RCS,IT0004931496,MTA,Media,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Services, FTSE Italia All-Share Media"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003828271.html?lang=en,Recordati,REC,IT0003828271,MTA,Health Care,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE MIB, FTSE Italia All-Share Health Care, FTSE Italia All-Share Health Care"
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005371874.html?lang=en,Relatech,RLT,IT0005371874,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/FR0000131906.html?lang=en,Renault,RNO,FR0000131906,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005340655.html?lang=en,Renergetica,REN,IT0005340655,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001178299.html?lang=en,Reno De Medici,RM,IT0001178299,STAR,Industrial Goods & Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Industrials, FTSE Italia All-Share Industrial Goods and Services"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005282865.html?lang=en,Reply,REY,IT0005282865,STAR,Technology,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Mid Cap, FTSE Italia STAR, FTSE Italia All-Share Technology, FTSE Italia All-Share Technology"
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/ES0173516115.html?lang=en,Repsol,REP,ES0173516115,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005349052.html?lang=en,Restart,RST,IT0005349052,MTA,Real Estate,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Financials, FTSE Italia Real Estate"
